"id","user_id","artist_package_id","stage_name","bio","avatar","cover_image","verified_at","status","revoked_at","start_date","end_date","created_at","updated_at"
"1","4","3","HH Beats","Independent artist seeded for full artist registration lifecycle.","/storage/avt.jpg",NULL,"2026-04-14 01:19:02","active",NULL,"2026-04-14 01:19:02","2027-04-14 01:19:02","2026-04-18 01:19:02","2026-04-18 01:19:02"
"2","5","3","Phương Thanh",NULL,NULL,NULL,"2026-04-18 01:19:04","active",NULL,"2026-04-18 01:19:04","2027-04-18 01:19:04","2026-04-18 01:19:04","2026-04-18 01:19:04"
"3","6","3","Lý Hải",NULL,NULL,NULL,"2026-04-18 01:19:04","active",NULL,"2026-04-18 01:19:04","2027-04-18 01:19:04","2026-04-18 01:19:04","2026-04-18 01:19:04"
"4","7","3","Mỹ Tâm",NULL,NULL,NULL,"2026-04-18 01:19:05","active",NULL,"2026-04-18 01:19:05","2027-04-18 01:19:05","2026-04-18 01:19:05","2026-04-18 01:19:05"
"5","8","3","Bằng Kiều",NULL,NULL,NULL,"2026-04-18 01:19:05","active",NULL,"2026-04-18 01:19:05","2027-04-18 01:19:05","2026-04-18 01:19:05","2026-04-18 01:19:05"
"6","9","3","Phương Mỹ Chi",NULL,NULL,NULL,"2026-04-18 01:19:05","active",NULL,"2026-04-18 01:19:05","2027-04-18 01:19:05","2026-04-18 01:19:05","2026-04-18 01:19:05"
"7","10","3","Bùi Công Nam",NULL,NULL,NULL,"2026-04-18 01:19:05","active",NULL,"2026-04-18 01:19:05","2027-04-18 01:19:05","2026-04-18 01:19:05","2026-04-18 01:19:05"
"8","11","3","Phùng Khánh Linh",NULL,NULL,NULL,"2026-04-18 01:19:06","active",NULL,"2026-04-18 01:19:06","2027-04-18 01:19:06","2026-04-18 01:19:06","2026-04-18 01:19:06"
"9","12","3","Nguyễn Hùng",NULL,NULL,NULL,"2026-04-18 01:19:06","active",NULL,"2026-04-18 01:19:06","2027-04-18 01:19:06","2026-04-18 01:19:06","2026-04-18 01:19:06"
"10","13","3","Hòa Minzy",NULL,NULL,NULL,"2026-04-18 01:19:06","active",NULL,"2026-04-18 01:19:06","2027-04-18 01:19:06","2026-04-18 01:19:06","2026-04-18 01:19:06"
"11","14","3","NSUT Cao Minh",NULL,NULL,NULL,"2026-04-18 01:19:06","active",NULL,"2026-04-18 01:19:06","2027-04-18 01:19:06","2026-04-18 01:19:06","2026-04-18 01:19:06"
"12","15","3","Hứa Kim Tuyền",NULL,NULL,NULL,"2026-04-18 01:19:07","active",NULL,"2026-04-18 01:19:07","2027-04-18 01:19:07","2026-04-18 01:19:07","2026-04-18 01:19:07"
"13","16","3","Orange",NULL,NULL,NULL,"2026-04-18 01:19:07","active",NULL,"2026-04-18 01:19:07","2027-04-18 01:19:07","2026-04-18 01:19:07","2026-04-18 01:19:07"
"14","17","3","Trúc Nhân",NULL,NULL,NULL,"2026-04-18 01:19:07","active",NULL,"2026-04-18 01:19:07","2027-04-18 01:19:07","2026-04-18 01:19:07","2026-04-18 01:19:07"
