"id","user_id","song_id","created_at","updated_at"
"1","2","9","2026-03-31 01:19:20","2026-03-31 01:19:20"
"2","2","13","2026-04-16 01:19:20","2026-04-16 01:19:20"
"3","2","5","2026-04-08 01:19:20","2026-04-08 01:19:20"
"5","64","4","2026-03-22 01:19:20","2026-03-22 01:19:20"
"6","65","10","2026-03-29 01:19:20","2026-03-29 01:19:20"
"7","66","1","2026-04-11 01:19:20","2026-04-11 01:19:20"
"8","66","9","2026-04-14 01:19:20","2026-04-14 01:19:20"
"9","66","10","2026-03-20 01:19:20","2026-03-20 01:19:20"
"10","68","4","2026-03-27 01:19:20","2026-03-27 01:19:20"
"11","69","6","2026-04-18 01:19:20","2026-04-18 01:19:20"
"12","69","9","2026-04-12 01:19:20","2026-04-12 01:19:20"
"13","69","13","2026-03-29 01:19:20","2026-03-29 01:19:20"
"14","70","1","2026-04-16 01:19:20","2026-04-16 01:19:20"
"15","70","6","2026-03-30 01:19:20","2026-03-30 01:19:20"
"16","70","12","2026-04-11 01:19:20","2026-04-11 01:19:20"
"17","72","7","2026-04-14 01:19:20","2026-04-14 01:19:20"
"18","72","14","2026-04-05 01:19:20","2026-04-05 01:19:20"
"19","72","2","2026-03-29 01:19:20","2026-03-29 01:19:20"
"20","72","9","2026-04-03 01:19:20","2026-04-03 01:19:20"
"21","73","7","2026-03-21 01:19:20","2026-03-21 01:19:20"
"22","73","11","2026-03-20 01:19:20","2026-03-20 01:19:20"
"23","74","4","2026-04-04 01:19:20","2026-04-04 01:19:20"
"24","76","12","2026-04-13 01:19:20","2026-04-13 01:19:20"
"25","76","11","2026-04-12 01:19:20","2026-04-12 01:19:20"
"26","77","14","2026-03-28 01:19:20","2026-03-28 01:19:20"
"27","77","8","2026-04-01 01:19:20","2026-04-01 01:19:20"
"28","78","13","2026-03-30 01:19:20","2026-03-30 01:19:20"
"29","80","7","2026-04-11 01:19:20","2026-04-11 01:19:20"
"30","81","10","2026-04-18 01:19:20","2026-04-18 01:19:20"
"31","82","8","2026-04-01 01:19:20","2026-04-01 01:19:20"
"32","84","11","2026-04-18 01:19:20","2026-04-18 01:19:20"
"33","84","14","2026-03-26 01:19:20","2026-03-26 01:19:20"
"34","85","6","2026-04-07 01:19:20","2026-04-07 01:19:20"
"35","85","14","2026-03-24 01:19:20","2026-03-24 01:19:20"
"36","85","12","2026-04-09 01:19:20","2026-04-09 01:19:20"
"37","85","13","2026-04-15 01:19:20","2026-04-15 01:19:20"
"38","86","9","2026-03-23 01:19:20","2026-03-23 01:19:20"
"39","86","13","2026-04-10 01:19:20","2026-04-10 01:19:20"
