"id","type","slug","label","created_at","updated_at"
"1","mood","buon","Buon","2026-04-18 01:19:18","2026-04-18 01:19:18"
"2","mood","tam-trang","Tam trang","2026-04-18 01:19:18","2026-04-18 01:19:18"
"3","activity","ngu","Ngu","2026-04-18 01:19:18","2026-04-18 01:19:18"
"4","topic","ky-uc","Ky uc","2026-04-18 01:19:18","2026-04-18 01:19:18"
"5","mood","lang-man","Lang man","2026-04-18 01:19:18","2026-04-18 01:19:18"
"6","activity","lam-viec","Lam viec","2026-04-18 01:19:18","2026-04-18 01:19:18"
"7","topic","chia-tay","Chia tay","2026-04-18 01:19:18","2026-04-18 01:19:18"
"8","mood","energetic","Energetic","2026-04-18 01:19:18","2026-04-18 01:19:18"
"9","activity","lai-xe","Lai xe","2026-04-18 01:19:18","2026-04-18 01:19:18"
"10","activity","thu-gian","Thu gian","2026-04-18 01:19:18","2026-04-18 01:19:18"
"11","activity","chay-bo","Chay bo","2026-04-18 01:19:18","2026-04-18 01:19:18"
"12","topic","cuoc-song","Cuoc song","2026-04-18 01:19:18","2026-04-18 01:19:18"
"13","mood","vui-ve","Vui ve","2026-04-18 01:19:18","2026-04-18 01:19:18"
"14","activity","hoc-tap","Hoc tap","2026-04-18 01:19:18","2026-04-18 01:19:18"
"15","topic","tinh-yeu","Tinh yeu","2026-04-18 01:19:18","2026-04-18 01:19:18"
"16","activity","tiec-tung","Tiec tung","2026-04-18 01:19:18","2026-04-18 01:19:18"
"17","topic","tuoi-tre","Tuoi tre","2026-04-18 01:19:18","2026-04-18 01:19:18"
"18","mood","hao-hung","Hao hung","2026-04-18 01:19:18","2026-04-18 01:19:18"
"19","activity","tap-gym","Tap gym","2026-04-18 01:19:18","2026-04-18 01:19:18"
"20","topic","que-huong","Que huong","2026-04-18 01:19:18","2026-04-18 01:19:18"
"21","activity","yoga","Yoga","2026-04-18 01:19:18","2026-04-18 01:19:18"
"22","topic","gia-dinh","Gia dinh","2026-04-18 01:19:18","2026-04-18 01:19:18"
"23","activity","lai_xe","Lai_xe","2026-04-18 01:19:18","2026-04-18 01:19:18"
