"title","artist","album","genre","duration","file_size","file_mime","file_path","cover_image","lyrics","lyrics_type","released_date","is_vip","status","listens","mood_tags","activity_tags","topic_tags"
"Một thời đã xa","Phương Thanh",,"pop","300",,,"songs/custom/001_mot_thoi_da_xa.mp3","covers/songs/custom/001_mot_thoi_da_xa.jpg","""Đừng buồn anh hỡi khi lỡ nói yêu em rồi
Bận lòng chi nữa hỡi anh xin hãy quên em đi
Giây phút bên nhau anh sẽ quên mau
Chỉ có em thôi giữ mãi bóng hình xưa.

Đời ai cũng có giây phút trót yêu dại khờ
Và em đã biết biết anh sẽ chẳng yêu em đâu
Em sẽ không quên giây phút bên nhau
Em đã trao anh trao anh nụ hôn ấy.

Và em biết anh sẽ quên hết
Những bài tình ca viết riêng tặng em
Và em biết trái tim anh có
Hình bóng ai kia đâu chỉ riêng em
Và em sẽ không trách anh nữa
Chẳng trách anh đâu
Khi ta đến bên nhau tình gian dối.

Và em biết anh sẽ quên hết
Những bài tình ca viết riêng tặng em
Và em biết trái tim anh có
Hình bóng ai kia đâu chỉ riêng em
Và em sẽ không trách anh nữa
Chẳng trách anh đâu
Khi ta đến bên nhau tình yêu dối lừa .""","plain","2000-01-01","0","published","111111","buon;tam-trang","ngu","ky-uc"
"Tình xa khuất","Phương Thanh",,"pop","354","5677600","audio/mpeg","songs/custom/002_tinh_xa_khuat.mp3","covers/songs/custom/002_tinh_xa_khuat.jpg","""Chiều một mình trên phố
Tâm hồn lạnh lùng buốt giá
Sao em nghe thấy môi mắt anh yêu vẫn còn đây
Đêm về trằn trọc thao thức
Nhớ thật nhiều làn môi ấm
Anh yêu dấu hỡi sao nỡ quay lưng bước vội đi
Tình ta vẫn thiết tha bao tháng ngày
Sao anh nỡ bước đi theo người
Bóng anh mờ khuất tâm hồn em vỡ nát rã rời
Giờ anh đã bước theo tình với người
Vì anh đã hết yêu em rồi
Bóng em lẻ loi trong chiều mưa
Chiều một mình trên phố
Tâm hồn lạnh lùng buốt giá
Sao em nghe thấy môi mắt anh yêu vẫn còn đây
Đêm về trằn trọc thao thức
Nhớ thật nhiều làn môi ấm
Anh yêu dấu hỡi sao nỡ quay lưng bước vội đi
Tình ta vẫn thiết tha bao tháng ngày
Sao anh nỡ bước đi theo người
Bóng anh mờ khuất tâm hồn em vỡ nát rã rời
Giờ anh đã bước theo tình với người
Vì anh đã hết yêu em rồi
Biết anh còn nhớ những ngày xưa bên nhau tha thiết
Tình ta vẫn thiết tha bao tháng ngày
Sao anh nỡ bước đi theo người
Bóng anh mờ khuất tâm hồn em vỡ nát rã rời
Giờ anh đã bước theo tình với người
Vì anh đã hết yêu em rồi
Bóng em lẻ loi trong chiều mưa""","plain","1998-05-20","0","published","231234","buon;lang-man","lam-viec","chia-tay"
"Trống vắng","Phương Thanh",,"Rock","321","5139269","audio/mpeg","songs/custom/003_trong_vang.mp3","covers/songs/custom/003_trong_vang.jpg","""Ngồi nhìn chiếc lá rụng rơi theo cội nguồn
Lá rơi lá rơi
Rồi khi anh đến dịu êm trong cuộc đời
Nhớ thêm nhớ thêm
Giờ đây sao trống vắng nhớ anh em buồn
Buồn vì ai
Vì sao tôi bỗng thấy nỗi cô đơn trong lòng
Ai vì ai
Những lúc gặp nhau anh đâu nào có biết
Có những hờn ghen nhỏ nhoi
Tiếc nuối làm chi yêu thương và dĩ vãng
Thà rằng anh nói tiếng chia tay
Thà rằng biết đến để em không buồn đau
Thà rằng biết đến làm chi
Trống vắng chiều nay dâng trong hồn em
Tình em còn đây còn trong nồng say
Và em ngồi đây chờ ai đợi ai""","plain","1997-10-10","0","published","213453","energetic;tam-trang","lai-xe","ky-uc"
"Lang thang","Phương Thanh",,"pop","357","5726083","audio/mpeg","songs/custom/004_lang_thang.mp3","covers/songs/custom/004_lang_thang.jpg","""Lang thang trên đường mưa rơi
Nghe lòng sao nức nở bồi hồi
Như ru ta vào giấc mơ
Bao lá khô rơi mùa thu tới.

Nhớ sao là nhớ bao nhớ
Nhớ tháng ngày bên nhau bao êm đềm
Nhớ sao là nhớ ôi hạnh phúc
Là thế đấy, vui biết bao.

Lang thang trên đường mưa rơi
Tin rằng anh có ngày trở lại
Em không tin rằng chia tay
Em vẫn nghe tim mình đắm say.

Nơi phương trời ấy và anh
Ôi tháng ngày yêu nhau đã xa rồi
Có bao giờ anh thoáng giây phút
Anh nhớ đến vui biết bao nhiêu.

[ĐK:]
Đã bao chiều trời mưa ngất ngây
Em đạp xe mình em vòng quanh
Trên đường xưa giờ sao vắng tênh
Bỗng nghe lòng hiu quạnh.

Anh giờ đây tựa như cánh chim bay
Phiêu bạt bay về phương trời nao
Ta làm sao, làm sao có nhau
Em biết làm sao?""","plain","1997-12-01","0","published","123123","buon;thu-gian","chay-bo","cuoc-song"
"Tình cờ","Phương Thanh",,"pop","213","3417695","audio/mpeg","songs/custom/005_tinh_co.mp3","covers/songs/custom/005_tinh_co.jpg","""Tình yêu như tiếng hát bỗng cất cánh trong tim tình cờ
Tình yêu như tiếng sét bỗng giáng xuống nào ai có ngờ
Phút chốc tay cầm tay
Phút chốc vai kề vai
Tình yêu như thế cứ đến, cứ đến như đã hẹn bao giờ
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng thì sánh đôi
Tình yêu như ánh nắng chiếu ấm áp tim ta tình cờ
Tình yêu như gió xoáy bỗng cuốn lốc nào ai có ngờ
Phút chốc chung vần thơ
Phút chốc chung lời ca
Tình yêu như thế cứ đến, cứ đến như đã hẹn bao giờ
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng thì sánh đôi
Tình yêu như tiếng hát bỗng cất cánh trong tim tình cờ
Tình yêu như tiếng sét bỗng giáng xuống nào ai có ngờ
Phút chốc vai kề vai
Phút chốc tay cầm tay
Tình yêu như thế cứ đến, cứ đến như đã hẹn bao giờ
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng thì sánh đôi
Tình yêu như ánh nắng chiếu ấm áp tim ta tình cờ
Tình yêu như gió xoáy bỗng cuốn lốc nào ai có ngờ
Phút chốc chung vần thơ
Phút chốc chung lời ca
Tình yêu như thế cứ đến, cứ đến như đã hẹn bao giờ
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng thì sánh đôi
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng tình yêu?
Phải thế chăng thì sánh đôi""","plain","1999-03-15","1","published","543454","vui-ve;lang-man","hoc-tap","tinh-yeu"
"Tình 2000","Phương Thanh",,"pop","342","5488265","audio/mpeg","songs/custom/006_tinh_2000.mp3","covers/songs/custom/006_tinh_2000.jpg","""Doi lam luc dau co ngo
Doi co luc khong la giac mo
Nguoi song riet quen nghi ngo
Tinh chi la giac mo ....
Doi lam luc quen hung ho,
Tinh co luc khong la y tho
Nay nhung trai tim lap lo
Con chi ma dan do

Nay co em kia oi rat xinh
Sao dan do mai mot cuoc tinh
Ngoai kia may den ve rat nhanh
Tung con gio, cuon, xoay dam la ua
Khong toi van con, khong toi van cho
Khong toi van doi mai mot tinh yeu
Yeu khong nghi ngo, yeu khong hung ho
Yeu van yeu nguoi mai...

Nay em hoi ...xin hay tin, tinh yeu do se van mai trao ve em,
Mot tinh yeu ...nhu mau xanh , xanh mai...

Khong toi van con, khong toi van cho
Khong toi van doi mai mot tinh yeu
Yeu nhu hoi tho,
Yeu trong mong cho
Yeu van yeu nguoi mai
Nay em hoi ... xin hay tin,
Tinh yeu do se mai khong he phai
Mot tinh yeu nhu loi ca, vang mai, vang mai trong ta ...

Doi lam luc dau co ngo
Tinh co luc khong la giac mo
Thi cu the ta mong cho
Du chi la giac mo…""","plain","2000-01-01","0","published","234543","energetic;vui-ve","tiec-tung","tuoi-tre"
"Chia tay trong mưa","Phương Thanh",,"Ballad","278","4457577","audio/mpeg","songs/custom/007_chia_tay_trong_mua.mp3","covers/songs/custom/007_chia_tay_trong_mua.jpg","""Em trao anh (tình nồng)
Mà anh đã vội quên
Một đêm thấy anh vui bên ai
Ngoài hiên đường vắng đầy mưa
Em trao anh (tình nồng)
Mà anh đã vội quên
Một đêm thấy anh vui bên ai
Ngoài hiên đường vắng đầy mưa
Trời đất như cuồng quay
Một thoáng nghe lòng quặn đau
Một phút bâng khuâng tình theo cơn sóng khơi xa
Hình bóng anh giờ xa cùng với ai
Bên này quên đi tình em
Giờ quanh em bóng đêm hoang tàn
Em trao anh (tình nồng)
Mà anh đã vội quên
Một đêm thấy anh vui bên ai
Ngoài hiên đường vắng đầy mưa
Trong đêm mưa (tình nồng)
Mình em vẫn ngồi đây
Chờ anh đến bên em đêm nay
Người yêu đừng mãi vội xa
Giờ đến đây trong em thật nhẹ nhàng
Ngọn sóng đi qua và cuốn anh xa
Những đêm mưa về từng năm tháng
Yêu cuồng say tình anh tan vào mưa
Chua cay nói câu chia tay
Em trao anh (tình nồng)
Mà anh đã vội quên
Một đêm thấy anh vui bên ai
Ngoài hiên đường vắng đầy mưa
Trong đêm mưa (tình nồng)
Mình em vẫn ngồi đây
Chờ anh đến bên em đêm nay
Người yêu đừng mãi vội xa
Em trao anh (tình nồng)
Mà anh đã vội quên
Một đêm thấy anh vui bên ai
Ngoài hiên đường vắng đầy mưa
Trong đêm mưa (tình nồng)
Mình em vẫn ngồi đây
Chờ anh đến bên em đêm nay
Người yêu đừng mãi vội xa
Em trao anh (tình nồng)
Mà anh đã vội quên
Một đêm thấy anh vui bên ai
Ngoài hiên đường vắng đầy mưa
Trong đêm mưa
Mình em vẫn ngồi đây
Chờ anh đến bên em đêm nay
Người yêu đừng mãi vội xa""","plain","1998-08-20","0","published","546457","buon;tam-trang","ngu","chia-tay"
"Đêm đông lao xao","Phương Thanh",,"pop","330","5283883","audio/mpeg","songs/custom/008_dem_dong_lao_xao.mp3","covers/songs/custom/008_dem_dong_lao_xao.jpg","""Đêm đông lao xao, đêm đông nhớ ai?
Đêm đông cô đơn vắng ai?
Ϲơn mưa lao xao, cơn mưa nhớ ai?
Ôi, hạt mưa rơi khóc thầm!
Anh đang nơi đâu? Anh thương nhớ ai?
Ɓao đêm cô đơn vắng anh.
Mong cho đôi ta, bên nhau mãi thôi!
Ϲho hạt mưa rơi hết buồn
ĐK:
Tình уêu như cánh chim trời vụt baу theo gió mãi trôi!
Để bao thương nhớ âm thầm, thiết tha vô bờ
Đèn khuуa có thấu haу chăng, lẻ loi tôi đang ngóng trông
Thì mâу mưa cứ trôi hoài, khát khao chờ mong
Ϲhợt nghe chư tiếng em cười, cỏ câу như muốn níu chân
Ɲhẹ nâng câu hát ban đầu, dấu xưa tuуệt vời.
Một mai anh sẽ quaу về, bờ môi mang bao thiết tha.
Ɓài ca in mãi trong lòng, sẽ không nhạt phai!""","plain","2001-11-15","0","published","875678","thu-gian;lang-man","hoc-tap","ky-uc"
"Giã từ dĩ vãng","Phương Thanh",,"Ballad","210","3363360","audio/mpeg","songs/custom/009_gia_tu_di_vang.mp3","covers/songs/custom/009_gia_tu_di_vang.jpg","""Cô đơn cô đơn nỗi đau
Cõi đời lạc lõng như vô tình
Sao quên đi những tháng năm
Êm đềm hạnh phúc trong tầm tay
Tha phương xa trông cố hương
Tiếng còi tàu xé tan cõi lòng
Xót xa khi mảnh đời về đâu đêm tối
Mong manh mong manh khói sương
Vẫn là ngọn gió hay vô tình
Mơ xa xôi trong giấc mơ
Bỗng người chợt đến ta nào hay
Đôi khi nghe bao xót xa
Tiếc thời gian đã trôi quá mau
Hãy quên đi ngày xưa
Chợt bừng tỉnh giữa cơn mơ
Giã từ dĩ vãng quay lưng còn vương chi kiếp tội tình
Giã từ dĩ vãng mây trôi đã xa rời xa quê nhà
Giã từ quên đi cay đắng, quên đi giọt nước mắt rơi
Giã từ, giã từ dẫu là chẳng còn chi nữa
Giã từ dĩ vãng qua đi mùa xuân nắng ấm tình nồng
Giã từ dĩ vãng xa xôi lỡ gieo sầu vương mắt ai
Giã từ cho ta mong nhớ yêu thương người mãi mãi thôi
Giã từ, giã từ dĩ vãng xưa qua trong mơ
Cô đơn cô đơn nỗi đau
Cõi đời lạc lõng như vô tình
Sao quên đi những tháng năm
Êm đềm hạnh phúc trong tầm tay
Tha phương xa trông cố hương
Tiếng còi tàu xé tan cõi lòng
Xót xa khi mảnh đời về đâu đêm tối
Mong manh mong manh khói sương
Vẫn là ngọn gió hay vô tình
Mơ xa xôi trong giấc mơ
Bỗng người chợt đến ta nào hay
Đôi khi nghe bao xót xa
Tiếc thời gian đã trôi quá mau
Hãy quên đi ngày xưa
Chợt bừng tỉnh giữa cơn mơ
Giã từ dĩ vãng quay lưng còn vương chi kiếp tội tình
Giã từ dĩ vãng xa xôi lỡ gieo sầu vương mắt ai
Giã từ cho ta mong nhớ yêu thương người mãi mãi thôi
Giã từ, giã từ dẫu là chẳng còn chi nữa
Giã từ dĩ vãng qua đi mùa xuân nắng ấm tình nồng
Giã từ dĩ vãng xa xôi lỡ gieo sầu vương mắt ai
Giã từ cho ta mong nhớ yêu thương người mãi mãi thôi
Giã từ, giã từ dĩ vãng xưa qua trong mơ
Giã từ dĩ vãng quay lưng còn vương chi kiếp tội tình
Giã từ dĩ vãng xa xôi đã xa rời xa quê nhà
Giã từ quên đi cay đắng, quên đi giọt nước mắt rơi
Giã từ, giã từ dẫu là chẳng còn chi nữa
Giã từ dĩ vãng qua đi mùa xuân nắng ấm tình nồng
Giã từ dĩ vãng xa xôi lỡ gieo sầu vương mắt ai
Giã từ cho ta mong nhớ yêu thương người mãi mãi thôi
Giã từ, giã từ dĩ vãng xưa qua trong mơ""","plain","1997-09-05","0","published","123456","buon;tam-trang","ngu","ky-uc"
"Mưa tình yêu","Phương Thanh",,"pop","218","3496271","audio/mpeg","songs/custom/010_mua_tinh_yeu.mp3","covers/songs/custom/010_mua_tinh_yeu.jpg","""Chiều nay mưa trên phố, anh vẫn mong chờ em
Chờ em qua lối ấy mong đợi từng phút giây
Hạt mưa rơi tí tách, rơi ướt đôi bờ vai
Nhìn nhau không dám nói, nói ngàn lời yêu thương.

[ĐK:]
Tình yêu đến như là cơn mưa chiều
Nhẹ vươn suối tóc mây người em yêu kiều
Chiều trên phố anh luôn thầm mong sẽ mãi có em
Nhẹ bước trong mưa tình yêu.

Lòng ước muốn trao về em thật nhiều
Ngàn thương nhớ mãi vươn lòng anh bao chiều
Tình yêu đó anh xin dành riêng cho em mãi thôi
Đẹp mãi cơn mưa tình yêu.""","plain","2002-06-10","1","published","34567","lang-man;vui-ve","lam-viec","tinh-yeu"
